job_title,company_name,company_location,total_salary,City,State,link
Django Developer,ByteQuest Softwares Pvt Ltd,"Delhi, Delhi",420000.0,Delhi,Delhi,https://in.indeed.com/rc/clk?jk=5f4ff9e1b5c75607&bb=Q6QnohoNRAiB_8T1AMyEAmvOzCZactqkal8t2nQKHQWD9UljQwUYbbWAhEaaQ7Siy8e04n-DHLITd2dLw2dqca1fl66JpzAlBbWoGwtEQrA%3D&xkcb=SoDG67M3G1HSgEQHhB0PbzkdCdPP&fccid=984bec6a4d4082e7&cmp=ByteQuest-Softwares-Pvt-Ltd&ti=Developer&vjs=3
Analyst - Customer Insights & Analytics IKC,United Airlines,"Gurugram, Haryana",Not Applicable,Gurugram,Haryana,https://in.indeed.com/rc/clk?jk=ee58fe00867d587b&bb=Q6QnohoNRAiB_8T1AMyEAuCjKA9mAk4vy3PNm7QEzE8IFWJhRl_mYjUvvlxKn0I_k7imnVPbAUUz6wby7z_SFwKf9_JZ1n_hOmQAX6q2bJM%3D&xkcb=SoBy67M3G1HSgEQHhB0ObzkdCdPP&fccid=e69f69636a9997cd&vjs=3
Senior Analytics Engineer,Mastercard,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=f5011f7e4eda9a12&bb=Q6QnohoNRAiB_8T1AMyEAsl29djs8pzDnUUEB6yPZEnbHI5HymwkcbhHq9SyUE7LrkJoZsPx2UkjJC3m-uWBnUQAFolgQFsJYJDhlC8WWkY%3D&xkcb=SoDv67M3G1HSgEQHhB0NbzkdCdPP&fccid=10b5c722d846df43&vjs=3
Senior Python Developer,HighWire Press,"Noida, Uttar Pradesh",Not Applicable,Noida,Uttar Pradesh,https://in.indeed.com/rc/clk?jk=33c2157e7cb34292&bb=Q6QnohoNRAiB_8T1AMyEAsEXHPsuZbyuiZ2R_65UyeMXarxi0cX3hKowtOTALeErov1rcShT4arezKxcuq99p1J8Lb0y0zXbxrmkzguOJ0U%3D&xkcb=SoBb67M3G1HSgEQHhB0MbzkdCdPP&fccid=75d52391ddf9f725&vjs=3
Full Stack Developer | Remote,Nao Medical,"New Delhi, Delhi",1150000.0,New Delhi,Delhi,https://in.indeed.com/rc/clk?jk=48dd3d52113f5714&bb=Q6QnohoNRAiB_8T1AMyEAgVFFa3AWNEKUoql25dFg0ZxbORFuCH3Za0Mp_vXGuhUru3v6rtshixamYAk00sPbQvqdhPuQw8kUP2lq3vhSyM%3D&xkcb=SoCy67M3G1HSgEQHhB0DbzkdCdPP&fccid=fe7cf5fbaf487d80&vjs=3
Python Developer,Caliber Hunt,"Faridabad, Haryana",287500.0,Faridabad,Haryana,https://in.indeed.com/rc/clk?jk=9f90cb16da8e5f3d&bb=Q6QnohoNRAiB_8T1AMyEAm_w3SYthC43DjznXERbTPItNXDrU873P3vJ71XUDPesBK0PvtIw1isx_Frq6oDoVP1ggs-oBY-IFbBEHFdkCBI%3D&xkcb=SoAG67M3G1HSgEQHhB0CbzkdCdPP&fccid=5b77d3541b42959f&vjs=3
Tech Lead,YoloBus,"Gurgaon, Haryana",900000.0,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=912f58d79047abaf&bb=Q6QnohoNRAiB_8T1AMyEAtOC1BSEkKVBYagv2me8XnT1NTmM-VV9s6KQRMi5GfpbP2Ui6NiSMKyI-x8ZXGTMeUnj2kwCqjSnEKNB3V9k4P4%3D&xkcb=SoCb67M3G1HSgEQHhB0BbzkdCdPP&fccid=8ed705a59b7788a3&cmp=YoloBus&ti=Technical+Lead&vjs=3
AI/ML Developer,Ajath Infotech,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=09e43de6ef389c87&bb=Q6QnohoNRAiB_8T1AMyEAsd1ov4WH578mXkgugDQueuOojSCW7PNHK3QNMW2TUvS1dXUnhb7lJ-51Q1FLP7HoGGpINXrSeYZ0SygAa0AFGk%3D&xkcb=SoAv67M3G1HSgEQHhB0AbzkdCdPP&fccid=c5250dd36d1aec0d&vjs=3
Associate Software Engineer (Python Data Engineer),Gartner,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=dfb0c23e9268b43b&bb=Q6QnohoNRAiB_8T1AMyEApdfVieYyXH1uiReDcTc1nHOhQnNzJHL2ky1TGCzXzpfHOw_nAv1OUeCmQ2jXEL7zbnhA_t_Ua_W9vc4e4oK32o%3D&xkcb=SoCh67M3G1HSgEQHhB0HbzkdCdPP&fccid=be293f1def77a963&vjs=3
QA Automation Tester,Togopool Private Limited,"Gurgaon, Haryana",887244.6599999999,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=da50d353b14f53df&bb=Q6QnohoNRAiB_8T1AMyEAmPrd7m3E-CjwKp0CTNeHcHOf8aPM8grTH6D8wSbxOfjv950fAEkQWC9iFfDUmXur_uakXDGBFc5fwFMNCcQKKk%3D&xkcb=SoAV67M3G1HSgEQHhB0GbzkdCdPP&fccid=dc5fe9270fd967cc&cmp=Carrers-job&ti=Automation+Engineer&vjs=3
